Book_name,Author,Original_language,First_published,Approximate_sales,Genre
The Secret,Rhonda Byrne,English,2006,20 million,Self-help
Fear of Flying,Erica Jong,English,1973,20 million,Romantic novel
Dune,Frank Herbert,English,1965,20 million,Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million,fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million,Social Science
Where the Crawdads Sing,Delia Owens,English,2018,18 million,Coming-of-age
Matilda,Roald Dahl,English,1988,17 million,Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million,Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million,N/A
Goodnight Moon,Margaret Wise Brown,English,1947,16 million,Children's Literature
The Neverending Story,Michael Ende,German,1979,16 million,Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million,Historical fiction
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.,Erotica
The Outsiders,S. E. Hinton,English,1967,15 million,N/A
Guess How Much I Love You,Sam McBratney,English,1994,15 million,N/A
Shōgun,James Clavell,English,1975,15 million,N/A
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million,N/A
The Pillars of the Earth,Ken Follett,English,1989,15 million,Historical fiction
Perfume,Patrick Süskind,German,1985,15 million,N/A
The Grapes of Wrath,John Steinbeck,English,1939,15 million,N/A
The Shadow of the Wind,Carlos Ruiz Zafón,Spanish,2001,15 million,N/A
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million,N/A
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million,Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million,N/A
God's Little Acre,Erskine Caldwell,English,1933,14 million,N/A
Follow Your Heart,Susanna Tamaro,Italian,1994,14 million,N/A
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million,N/A
Long Walk to Freedom,Nelson Mandela,English,1994,14 million,N/A
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million,N/A
Life After Life,Raymond Moody,English,1975,13 million,N/A
Momo,Michael Ende,German,1973,13 million,Children's Literature
Peyton Place,Grace Metalious,English,1956,12.1 million,N/A
The Giver,Lois Lowry,English,1993,12 million,Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million,N/A
Norwegian Wood,Haruki Murakami,Japanese,1987,12 million,N/A
The Plague,Albert Camus,French,1947,12 million,N/A
No Longer Human,Osamu Dazai,Japanese,1948,12 million,N/A
Man's Search for Meaning,Viktor Frankl,German,1946,12 million,N/A
The Divine Comedy,Dante Alighieri,Italian,1304,11–12 million (during the 20th century),N/A
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million,N/A
The Exorcist,William Peter Blatty,English,1971,11 million,Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million,N/A
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.,Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million,N/A
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million,N/A
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million,N/A
Diana: Her True Story,Andrew Morton,English,1992,10 million,N/A
The Help,Kathryn Stockett,English,2009,10 million,N/A
Catch-22,Joseph Heller,English,1961,10 million,N/A
The Stranger,Albert Camus,French,1942,10 million,N/A
Eye of the Needle,Ken Follett,English,1978,10 million,N/A
The Lovely Bones,Alice Sebold,English,2002,10 million,N/A
Wild Swans,Jung Chang,English,1992,10 million,N/A
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million,N/A
Night,Elie Wiesel,Yiddish,1958,10 million,N/A
Confucius from the Heart,Yu Dan,Chinese,2006,10 million,N/A
